,movie,link
226,David Copperfield,https://https://www.metacritic.com/movie/david-copperfield
227,Saving Private Ryan,https://https://www.metacritic.com/movie/saving-private-ryan
228,Burning,https://https://www.metacritic.com/movie/burning
229,The Worst Person in the World,https://https://www.metacritic.com/movie/the-worst-person-in-the-world
230,Ben-Hur,https://https://www.metacritic.com/movie/ben-hur-1959
231,After Hours,https://https://www.metacritic.com/movie/after-hours
232,The Crying Game,https://https://www.metacritic.com/movie/the-crying-game
233,Great Expectations,https://https://www.metacritic.com/movie/great-expectations-1947
234,Winter's Bone,https://https://www.metacritic.com/movie/winters-bone
235,Gett: The Trial of Viviane Amsalem,https://https://www.metacritic.com/movie/gett-the-trial-of-viviane-amsalem
236,I Called Him Morgan,https://https://www.metacritic.com/movie/i-called-him-morgan
237,Close Encounters of the Third Kind,https://https://www.metacritic.com/movie/close-encounters-of-the-third-kind
238,The Godfather: Part II,https://https://www.metacritic.com/movie/the-godfather-part-ii
239,Red Beard,https://https://www.metacritic.com/movie/red-beard
240,The Hustler,https://https://www.metacritic.com/movie/the-hustler
241,Hit the Road,https://https://www.metacritic.com/movie/hit-the-road
242,L.A. Confidential,https://https://www.metacritic.com/movie/la-confidential
243,Procession,https://https://www.metacritic.com/movie/procession
244,Bloody Sunday,https://https://www.metacritic.com/movie/bloody-sunday
245,My Voyage to Italy,https://https://www.metacritic.com/movie/my-voyage-to-italy
246,Phantom Thread,https://https://www.metacritic.com/movie/phantom-thread
247,Goodfellas,https://https://www.metacritic.com/movie/goodfellas
248,All the Beauty and the Bloodshed,https://https://www.metacritic.com/movie/all-the-beauty-and-the-bloodshed
249,Wojnarowicz,https://https://www.metacritic.com/movie/wojnarowicz
250,Paths of the Soul,https://https://www.metacritic.com/movie/paths-of-the-soul
251,It's Such a Beautiful Day,https://https://www.metacritic.com/movie/its-such-a-beautiful-day-2012
252,My Perestroika,https://https://www.metacritic.com/movie/my-perestroika
253,This Is Not a Film,https://https://www.metacritic.com/movie/this-is-not-a-film
254,The Birds,https://https://www.metacritic.com/movie/the-birds
255,To Have and Have Not,https://https://www.metacritic.com/movie/to-have-and-have-not
256,Finding Nemo,https://https://www.metacritic.com/movie/finding-nemo
257,Topsy-Turvy,https://https://www.metacritic.com/movie/topsy-turvy
258,Samurai Rebellion,https://https://www.metacritic.com/movie/samurai-rebellion
259,King Kong,https://https://www.metacritic.com/movie/king-kong-1933
260,Small Axe: Mangrove,https://https://www.metacritic.com/movie/mangrove
261,The Incredibles,https://https://www.metacritic.com/movie/the-incredibles
262,Before Sunset,https://https://www.metacritic.com/movie/before-sunset
263,Being John Malkovich,https://https://www.metacritic.com/movie/being-john-malkovich
264,A Prophet,https://https://www.metacritic.com/movie/a-prophet
265,Hard to Be a God,https://https://www.metacritic.com/movie/hard-to-be-a-god
266,Almost Famous,https://https://www.metacritic.com/movie/almost-famous
267,High and Low,https://https://www.metacritic.com/movie/high-and-low
268,Paths of Glory,https://https://www.metacritic.com/movie/paths-of-glory
269,Cold War,https://https://www.metacritic.com/movie/cold-war
270,Big Men,https://https://www.metacritic.com/movie/big-men
271,American Splendor,https://https://www.metacritic.com/movie/american-splendor
272,Hannah and Her Sisters,https://https://www.metacritic.com/movie/hannah-and-her-sisters
273,The Circus,https://https://www.metacritic.com/movie/the-circus
274,Lost in Translation,https://https://www.metacritic.com/movie/lost-in-translation
275,The Tale,https://https://www.metacritic.com/movie/the-tale
276,Licorice Pizza,https://https://www.metacritic.com/movie/licorice-pizza
277,Paterson,https://https://www.metacritic.com/movie/paterson
278,Gosford Park,https://https://www.metacritic.com/movie/gosford-park
279,The Fits,https://https://www.metacritic.com/movie/the-fits
280,The Souvenir: Part II,https://https://www.metacritic.com/movie/the-souvenir-part-ii
281,Mad Max: Fury Road,https://https://www.metacritic.com/movie/mad-max-fury-road
282,United 93,https://https://www.metacritic.com/movie/united-93
283,Capturing the Friedmans,https://https://www.metacritic.com/movie/capturing-the-friedmans
284,The Truman Show,https://https://www.metacritic.com/movie/the-truman-show
285,American Hustle,https://https://www.metacritic.com/movie/american-hustle
286,Blue Is the Warmest Color,https://https://www.metacritic.com/movie/blue-is-the-warmest-color
287,Star Wars: Episode IV - A New Hope,https://https://www.metacritic.com/movie/star-wars-episode-iv---a-new-hope
288,Persepolis,https://https://www.metacritic.com/movie/persepolis
289,The Age of Innocence,https://https://www.metacritic.com/movie/the-age-of-innocence
290,Once,https://https://www.metacritic.com/movie/once
291,First Cow,https://https://www.metacritic.com/movie/first-cow
292,The Best of Youth,https://https://www.metacritic.com/movie/the-best-of-youth
293,The Overnighters,https://https://www.metacritic.com/movie/the-overnighters
294,The Lives of Others,https://https://www.metacritic.com/movie/the-lives-of-others
295,Two-Lane Blacktop,https://https://www.metacritic.com/movie/two-lane-blacktop
296,House of Flying Daggers,https://https://www.metacritic.com/movie/house-of-flying-daggers
297,63 Up,https://https://www.metacritic.com/movie/63-up
298,Minding the Gap,https://https://www.metacritic.com/movie/minding-the-gap
299,Treasure Island,https://https://www.metacritic.com/movie/treasure-island
300,Searching for Bobby Fischer,https://https://www.metacritic.com/movie/searching-for-bobby-fischer
301,Hamilton,https://https://www.metacritic.com/movie/hamilton-2020
302,National Gallery,https://https://www.metacritic.com/movie/national-gallery
303,Assault on Precinct 13,https://https://www.metacritic.com/movie/assault-on-precinct-13-1976
304,Man on Wire,https://https://www.metacritic.com/movie/man-on-wire
305,Three Minutes: A Lengthening,https://https://www.metacritic.com/movie/three-minutes-a-lengthening
306,For Sama,https://https://www.metacritic.com/movie/for-sama
307,Force of Evil,https://https://www.metacritic.com/movie/force-of-evil
308,The Hidden Fortress,https://https://www.metacritic.com/movie/the-hidden-fortress
309,Still Walking,https://https://www.metacritic.com/movie/still-walking
310,Gangs of Wasseypur,https://https://www.metacritic.com/movie/gangs-of-wasseypur
311,The Last Detail,https://https://www.metacritic.com/movie/the-last-detail
312,When the Levees Broke: A Requiem in Four Acts,https://https://www.metacritic.com/movie/when-the-levees-broke-a-requiem-in-four-acts
313,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,https://https://www.metacritic.com/movie/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan
314,Minari,https://https://www.metacritic.com/movie/minari
315,Whiplash,https://https://www.metacritic.com/movie/whiplash
316,Barry Lyndon,https://https://www.metacritic.com/movie/barry-lyndon
317,The Farewell,https://https://www.metacritic.com/movie/the-farewell
318,Elle,https://https://www.metacritic.com/movie/elle
319,The Tale of The Princess Kaguya,https://https://www.metacritic.com/movie/the-tale-of-princess-kaguya
320,Uncertain,https://https://www.metacritic.com/movie/uncertain
321,Captain Blood,https://https://www.metacritic.com/movie/captain-blood
322,"Two Days, One Night",https://https://www.metacritic.com/movie/two-days-one-night
323,Great Freedom,https://https://www.metacritic.com/movie/great-freedom
324,Eighth Grade,https://https://www.metacritic.com/movie/eighth-grade
325,A Star Is Born,https://https://www.metacritic.com/movie/a-star-is-born-1954
326,No End in Sight,https://https://www.metacritic.com/movie/no-end-in-sight
327,It's a Wonderful Life,https://https://www.metacritic.com/movie/its-a-wonderful-life
328,The Madness of King George,https://https://www.metacritic.com/movie/the-madness-of-king-george
329,Phoenix,https://https://www.metacritic.com/movie/phoenix
330,Goodbye Solo,https://https://www.metacritic.com/movie/goodbye-solo
331,Gunda,https://https://www.metacritic.com/movie/gunda
332,Western,https://https://www.metacritic.com/movie/western
333,The Power of the Dog,https://https://www.metacritic.com/movie/the-power-of-the-dog
334,Stop Making Sense,https://https://www.metacritic.com/movie/stop-making-sense
335,Deep Red,https://https://www.metacritic.com/movie/deep-red
336,Downhill Racer,https://https://www.metacritic.com/movie/downhill-racer
337,Alien,https://https://www.metacritic.com/movie/alien
338,Columbus,https://https://www.metacritic.com/movie/columbus
339,Night of the Living Dead,https://https://www.metacritic.com/movie/night-of-the-living-dead
340,The Artist,https://https://www.metacritic.com/movie/the-artist
341,Yankee Doodle Dandy,https://https://www.metacritic.com/movie/yankee-doodle-dandy
342,Raging Bull,https://https://www.metacritic.com/movie/raging-bull
343,Eternal Sunshine of the Spotless Mind,https://https://www.metacritic.com/movie/eternal-sunshine-of-the-spotless-mind
344,The Piano,https://https://www.metacritic.com/movie/the-piano
345,Of Mice and Men,https://https://www.metacritic.com/movie/of-mice-and-men
346,Dead Souls,https://https://www.metacritic.com/movie/dead-souls
347,Zama,https://https://www.metacritic.com/movie/zama
348,Dick Johnson Is Dead,https://https://www.metacritic.com/movie/dick-johnson-is-dead
349,High Noon,https://https://www.metacritic.com/movie/high-noon
350,Rebel Without a Cause,https://https://www.metacritic.com/movie/rebel-without-a-cause
351,Letters from Iwo Jima,https://https://www.metacritic.com/movie/letters-from-iwo-jima
352,The Seventh Continent (1989),https://https://www.metacritic.com/movie/the-seventh-continent
353,A Woman Under the Influence,https://https://www.metacritic.com/movie/a-woman-under-the-influence
354,Ghost World,https://https://www.metacritic.com/movie/ghost-world
355,Foreign Correspondent,https://https://www.metacritic.com/movie/foreign-correspondent
356,Show Boat,https://https://www.metacritic.com/movie/show-boat
357,The Arbor,https://https://www.metacritic.com/movie/the-arbor
358,Long Day's Journey Into Night,https://https://www.metacritic.com/movie/long-days-journey-into-night
359,Richard III,https://https://www.metacritic.com/movie/richard-iii-1956
360,Democrats,https://https://www.metacritic.com/movie/democrats
361,The Lion King,https://https://www.metacritic.com/movie/the-lion-king
